MATERIA;CLASSE;ERA;SETTORE;TIPO;INCLUDERE;DOMANDA;CORRETTA;OPZIONE_1;OPZIONE_2;OPZIONE_3;OPZIONE_4
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Il protocollo IP si occupa di:;3;scaricare la posta elettronica da una casella remota;mettere insieme nell’ordine giusto i pacchetti che arrivano disordinatamente ad un server di rete ;far viaggiare i singoli pacchetti dal mittente al destinatario;risolvere degli indirizzi IP in nomi facilmente utilizzabili dall'utente
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Per poter spedire via Internet messaggi di posta elettronica contenenti non solo testo (es. audio e video) è necessario usare il formato: ;1;MIME;HTTP;FIFO;LIFO
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;In genere, quando ci si collega a Internet da casa tramite un ISP:;3;non ci serve un indirizzo IP per navigare;riceviamo l’indirizzo IP per posta elettronica;riceveremo un indirizzo ip da usare soltanto per una connessione;usiamo il nostro indirizzo IP che ci viene fornito quando firmiamo il contratto con l’ISP 
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Quali dei seguenti è un indirizzo di posta elettronica? ;3;130.136.1.110;tizio.cs.unibo.it;tizio@mcn.it ;www.unibo.it
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa rappresenta la stringa 130.136.2.6?;2;Un indirizzo simbolico di host su Internet;Un indirizzo assoluto di host su Internet;Un indirizzo di posta elettronica su Internet ;nessuna delle precedenti risposte
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa rappresenta la stringa roccetti@cs.unibo.it?;3;Un indirizzo simbolico di host su Internet;Un indirizzo assoluto di host su Internet;Un indirizzo di posta elettronica su Internet ;nessuna delle precedenti risposte
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Che ruolo svolge il protocollo DNS?;1;Trasforma un indirizzo simbolico in un indirizzo fisico (IP) ;Trasmette i messaggi di posta elettronica;Serve per connettere il modem al computer ;trasmette file all'interno di una rete 
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Essenzialmente, il protocollo TCP stabilisce le regole su come riordinare i pacchetti alla destinazione e su come garantire una comunicazione affidabile su Internet.;3;Vera la prima parte dell’affermazione, scorretta la seconda ;Scorretta la prima parte dell’affermazione, vera la seconda ;Tutto vero;Tutto falso
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Il protocollo utilizzato su Internet per la posta elettronica è:;1;SMTP;HTTP;FTP;NNP
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Quale di questi rappresenta un modello di architettura di rete?;1;Client/Server;A ramo;Ad instradamento;Nessuna delle precedenti
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Qual è il vantaggio del modello client/server?;3;Velocità di trasmissione dati più elevata;Maggiore sicurezza nella comunicazione;Semplicità di implementazione;Si possono utilizzare applicazioni che richiedono una grande ampiezza di banda
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Qual è il vantaggio del modello P2P?;1;Non esiste nessun punto critico all'interno dell'architettura;Permette il trasferimento di dati cifrati;Sono utilizzati pochi host;Viene rispettato il vincolo della temporizzazione
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa prevede il modello client/server?;1;Un host denominato client richiede un servizio ad un altro host remoto chiamato server;Due host chiamati client e server condividono le stesse risorse;Un host chiamato server richiede un servizio ad un host chiamato client;Nessuna delle precedenti
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa prevede il modello P2P?;1;Più host chiamati peer sono in comunicazione tra loro e condividono risorse;Un host denominato peer contatta un altro host denominato server per ottenere un servizio;Un host denominato server richiede dei servizi a tanti host chiamati peer;Due host denominati peer forniscono dei servizi ad un host denominato server
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Chi svolge il ruolo di server all'interno del modello P2P?;1;Tutti gli host all'interno del modello P2P svolgono il ruolo di server, oltre a quello di client;Nessun host svolge il ruolo di server all'interno del modello P2P;Alcuni host sono deputati a fungere da server all'interno del modello P2P;Nessun host può svolgere il ruolo di server nel modello P2P
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Qual è la caratteristica del modello P2P centralizzato?;2;Tutti i peer sono concentrati in un unico host;In questo modello è presente un server che fornisce informazioni generali di tutti i peer della rete;Non esistono particolarità che lo distinguono dal classico P2P;In questo modello esistono soltanto server e nessun client
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Quale di questi è un servizio offerto dal livello di trasporto?;2;Permette l'instradamento dei pacchetti ;Fornisce un canale logico tra mittente e destinatario;Gestisce l'accesso al mezzo fisico da parte dei dispositivi;Gestisce la modulazione del segnale fisico
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Come identifica il protocollo di trasporto i diversi processi eseguiti in una macchina?;2;Con gli indirizzi IP;Con le porte;Con gli indirizzi MAC;Nessuna delle precedenti
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa è una socket?;3;Un tipo di indirizzo utilizzato dagli host;Un protocollo per rendere sicura una comunicazione;Un canale logico di comunicazione implementato al livello di trasporto;Un protocollo di traduzione di indirizzi IP
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Da cosa è individuata una socket?;4;Dal solo indirizzo ip del mittente;Dagli indirizzi ip del mittente e del destinatario;Dalle porte del mittente e del destinatario;Dagli indirizzi ip e dalle porte del mittente e del destinatario
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa si intende per trasferimento dati affidabile?;1;Un servizio che garantisce la consegna corretta e completa dei dati;Un servizio che garantisce la riservatezza dei dati;Un servizio che garantisce una buona velocità di trasferimento;Un servizio che garantisce un collegamento logico tra due host
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa si intende per ampiezza di banda?;1;La velocità minima in B/s da garantire;Il numero di applicazioni che si possono eseguire contemporaneamente;Una cifratura dei dati;La possibilità di correggere eventuali errori nella trasmissione dei dati
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa si intende per temporizzazione?;1;Garantire che un messaggio venga consegnato entro un tempo limite;Garantire una ottima velocità di trasferimento dati;Garantire che i dati trasmessi siano cifrati;Garantire che i dati arrivino nel giusto ordine
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Per quale delle seguenti applicazioni è necessario l'utilizzo del protocollo TCP?;1;Trasferimento di pagine web;Trasmissione audio/video;Chiamata Voip;Streaming video
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Per quale delle seguenti applicazioni è necessario l'utilizzo del protocollo UDP?;1;Streaming audio/video;Invio e ricezione di email;Trasferimento di pagine web;Connessione remota tramite riga di comando
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Chi svolge il ruolo di client all'interno del WWW?;3;Il router;Il server DNS;Il browser;Il firewall
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Quale differenza c'è tra il protocollo FTP e il protocollo FTPS?;1;Il primo non cifra la trasmissione, il secondo si;Il primo cifra la trasmissione, il secondo no;Il primo è compatibile con TCP, il secondo con UDP;Il primo è compatibile con UDP, il secondo con TCP
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Chi rappresenta il MUA?;1;Mittente o destinatario della trasmissione della mail;Il server che conserva le email ricevute;Il client che richiede una pagina web;Il server che garantisce la risoluzione degli indirizzi IP
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Chi rappresenta il MTA?;2;Mittente o destinatario della trasmissione della mail;Uno dei server deputati alla trasmissione delle email all'interno della rete;Un server che garantisce la cifratura dei dati;Un client che riceve una email
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Quale differenza c'è tra il protocollo POP3 e il protocollo IMAP?;2;Il primo garantisce la cifratura delle email, il secondo no;Il primo scarica tutte le email ricevute, il secondo sincronizza le email tra server e client;Il primo non garantisce la cifratura delle email, il secondo si;Il primo sincronizza le email tra server e client, il secondo scarica tutte le email ricevute
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Per cosa viene utilizzato lo standard MIME?;2;Per l'invio e la ricezione di email;Per la gestione di allegati nelle email;Per la cifratura delle email;Per la sincronizzazione delle email tra server e client
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Da quanti bit è composta una porta TCP/UDP?;2;8 bit;16 bit;32 bit;64 bit
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa si intende per risoluzione degli indirizzi IP?;1;La traduzione del nome di un host nel suo indirizzo IP associato;La suddivisione di un indirizzo IP in due parti;La ricerca della subnet di una rete;La ricerca dell'indirizzo IP del gateway di rete
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa è il DNS?;1;Un protocollo per la risoluzione di indirizzi IP;Un protocollo per la connessione via riga di comando;Un protocollo per il trasferimento di file;Un protocollo per il trasferimento di pagine web
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;I server DNS quale struttura di database seguono?;2;Quella di un database centralizzato;Quella di un database distribuito;Non si basano su database;Sia centralizzato che distribuito
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa sono i root DNS server?;1;I primi DNS server con cui interfacciarsi per iniziare la risoluzione dell'indirizzo IP;Dei server DNS in grado di risolvere qualsiasi indirizzo all'interno della propria zona;Dei server DNS che avranno il compito di contattare i server DNS specializzati in un determinato dominio;Dei server che fanno da intermediari agli altri server
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa sono i TLD server?;3;I primi DNS server con cui interfacciarsi per iniziare la risoluzione dell'indirizzo IP;Dei server DNS in grado di risolvere qualsiasi indirizzo all'interno della propria zona;Dei server DNS che avranno il compito di contattare i server DNS specializzati in un determinato dominio;Dei server che fanno da intermediari agli altri server
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa sono gli authoritative server?;2;I primi DNS server con cui interfacciarsi per iniziare la risoluzione dell'indirizzo IP;Dei server DNS in grado di risolvere qualsiasi indirizzo all'interno della propria zona;Dei server DNS che avranno il compito di contattare i server DNS specializzati in un determinato dominio;Dei server che fanno da intermediari agli altri server
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Quale di questi DNS server è sempre in grado di risolvere un indirizzo IP?;3;Il root DNS server;Il TLD server;L'authoritative server;Il server HTTP
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Che ruolo svolge il Local Name Server?;1;Funge da client per tutte le successive richieste ai DNS server;Risolve qualsiasi indirizzo all'interno della sua zona;Risolve gli indirizzi dei domini .com, .it, etc;Lo stesso ruolo di un authoritative server
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;I domini .com, .it, etc, da quali server DNS verranno gestiti?;2;Dai root DNS server;Dai TLD server;Dagli authoritative server;Da nessun server
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Qual è la differenza tra TELNET e SSH?;1;Il primo non è sicuro, il secondo si ;Il primo è sicuro, il secondo no;Entrambi non sono sicuri;Entrambi sono sicuri, ma svolgono compiti diversi
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Nel protocollo HTTP, il client è un'entità:;1;attiva ;passiva;sia attiva che passiva;ne attiva ne passiva
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Su quale protocollo del livello di trasporto basa il proprio funzionamento l'HTTP?;1;TCP;UDP;DNS;SMTP
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa ha introdotto il protocollo HTTP v.1.1 rispetto alla versione v.1.0?;1;La possibilità di eseguire più richieste all'interno della stessa connessione TCP;La possibilità di ricevere file multimediali;La possibilità di cifrare la comunicazione;La possibilità di interrompere in qualsiasi momento la comunicazione
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Cosa si intende per pipeling nel protocollo HTTP?;2;La possibilità di cifrare l'intera comunicazione;La possibilità di inviare una nuova richiesta senza aspettare la risposta della richiesta precedente;La possibilità di inviare una richiesta per ogni connessione TCP;La possibilità di ottenere la risposta dal server con maggiore velocità
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Quale delle seguenti opzioni rappresenta la struttura di un URL corretto?;1;protocollo + host + porta + path + risorsa;path + risorsa + host + porta;protocollo + path + risorsa;protocollo + path + risorsa + host + porta
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Qual è il numero di porta del protocollo HTTP?;1;80;53;21;40
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Come è strutturato un messaggio di request HTTP?;1;riga di richiesta, elenco delle intestazioni e corpo della request;elenco delle intestazioni e corpo della request;riga di richiesta e corpo della request;riga di richiesta, codice di stato e corpo della request
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Come è strutturato un messaggio di response HTTP?;1;versione protocollo e codice di stato, elenco delle intestazioni e corpo della response;codice di stato e corpo della response;riga di richiesta, elenco delle intestazioni e corpo della response;codice di stato e elenco delle intestazioni
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Il codice di stato 200 ottenuto dal server indica:;1;che il server ha risposto correttamente;che si è verificato un errore lato client;che si è verificato un errore lato server;che la richiesta non è stata eseguita correttamente
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;L'informazione relativa alla versione del browser che utilizza il client si trova: ;2;nella riga di richiesta;nell'intestazione della request;nel corpo della request;nel codice di stato
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;La data presente nell'intestazione If-Modified-Since specifica:;1;che il client accetta documenti dopo quella data;che il client accetta documenti prima di quella data;che accetta documenti solo della stessa data;che il client ha mandato la sua richiesta in quella data
SISTEMI E RETI;5F;1;TEORIA;QUIZ;SI;Se il client utilizza il metodo GET, il corpo della request presenterà:;3;un documento JSON;un documento HTML;nulla, il corpo è vuoto;semplice testo
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti metodi non richiede la presenza di un body nella richiesta?;1;GET;POST;PUT;DELETE
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti metodi HTTP consente al client di richiedere una risorsa dal server?;1;GET;HEAD;PUT;POST
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti metodi HTTP consente al client di aggiornare una risorsa già esistente all'interno del server?;3;DELETE;GET;PUT;POST
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti metodi HTTP consente di rimuovere una risorsa presente all'interno del server?;4;GET;POST;PUT;DELETE
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti metodi HTTP consente al client di fornire nuovi dati al server?;2;HEAD;POST;GET;PUT
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti metodi HTTP integra i parametri della query della richiesta all'interno dell'URL?;1;GET;HEAD;DELETE;POST
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti metodi HTTP integra i parametri della query della richiesta all'interno del body della request?;2;GET;POST;DELETE;HEAD
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti metodi HTTP è indicato per trasferire al server i dati di un form in maniera nascosta?;2;PUT;POST;DELETE;HEAD
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti metodi HTTP specifica nell'URL l'applicazione che il server dovrebbe eseguire, piuttosto che la risorsa voluta dal client?;2;GET;POST;PUT;HEAD
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti metodi HTTP consente di verificare la validità di un URL, senza ottenere la risposta completa dal server?;1;HEAD;PUT;DELETE;POST
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa si intende per operazione idempotente?;1;Un'operazione che non ha alcun effetto aggiuntivo se ripetuta più volte con gli stessi parametri di input;Un'operazione che può avere un effetto aggiuntivo se ripetuta più volte con gli stessi parametri di input;Un'operazione che necessità di essere ripetuta più volte affinchè si possa ottenerne un risultato;Un'operazione che non necessita di essere ripetuta più volte affinchè si possa ottenerne un risultato
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quando un metodo HTTP si dice sicuro?;1;Quando il metodo non genera cambiamenti allo stato interno del server;Quando il metodo genera cambiamenti allo stato interno del server;Quando il metodo cifra il contenuto della richiesta;Quando il metodo cifra il contenuto della risposta
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quando un metodo HTTP si dice idempotente?;1;Quando l'effetto di più richieste HTTP con quel metodo è lo stesso di una sola richiesta con quel metodo;Quando l'effetto di più richieste HTTP con quel metodo è diverso di una sola richiesta con quel metodo;Quando il corpo della richiesta e della risposta è cifrato;Quando il corpo della richiesta e della risposta non è cifrato
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti metodi HTTP e sia sicuro che idempotente?;1;GET;POST;PUT;DELETE
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti metodi HTTP e sia sicuro che idempotente?;1;HEAD;POST;PUT;DELETE
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quale dei seguenti metodi HTTP non è sicuro ma è idempotente?;1;PUT;GET;HEAD;DELETE
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa sono i codici di stato?;1;Sono dei codici restituiti al client dal server per indicare al client l'esito di una richiesta;Sono dei codici restituiti al server dal client per indicare al server l'esito di una richiesta;Sono dei codici scambiati da client e server per distinguere i metodi utilizzati nelle richieste;Sono dei codici scambiati da client e server per distinguere i metodi utilizzati nelle risposte
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Chi restituisce i codici di stato?;1;Il server;Il client;Sia il server che il client;Il gateway
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quali codici di stato vengono utilizzati per fornire informazioni temporanee sulla richiesta?;1;100-199;200-299;300-399;400-499
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quali codici di stato vengono utilizzati per indicare il corretto completamento di una richiesta del client?;1;200-299;100-199;300-399;500-599
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quali codici di stato vengono utilizzati per comunicare al browser un particolare trattamento della richiesta appena effettuata?;1;300-399;200-299;500-599;400-499
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quali codici di stato vengono utilizzati per indicare condizioni di errore provocate dal comportamento del client?;1;400-499;100-199;300-399;200-299
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Quali codici di stato vengono utilizzati per indicare degli errori prodotti come risposta a problemi avvenuti nel server?;1;500-599;200-299;400-499;300-399
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Per cosa sono utilizzati i codici di stato dal 100 al 199?;1;Per fornire informazioni temporanee sulla richiesta;Per indicare il corretto completamento di una richiesta del client;Per comunicare al browser un particolare trattamento della richiesta appena effettuata;Per indicare condizioni di errore provocate dal comportamento de browser
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Per cosa sono utilizzati i codici di stato dal 200 al 299?;1;Per indicare il corretto completamento di una richiesta del client;Per fornire informazioni temporanee sulla richiesta;Per comunicare al browser un particolare trattamento della richiesta appena effettuata;Per indicare condizioni di errore provocate dal comportamento de browser
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Per cosa sono utilizzati i codici di stato dal 300 al 399?;1;Per comunicare al browser un particolare trattamento della richiesta appena effettuata;Per indicare condizioni di errore provocate dal comportamento de browser;Per indicare il corretto completamento di una richiesta del client;Per indicare degli errori prodotti come risposta a problemi avvenuti nel server
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Per cosa sono utilizzati i codici di stato dal 400 al 499?;1;Per indicare condizioni di errore provocate dal comportamento de browser;Per fornire informazioni temporanee sulla richiesta;Per indicare il corretto completamento di una richiesta del client;Per indicare degli errori prodotti come risposta a problemi avvenuti nel server
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Per cosa sono utilizzati i codici di stato dal 500 al 599?;1;Per indicare degli errori prodotti come risposta a problemi avvenuti nel server;Per fornire informazioni temporanee sulla richiesta;Per indicare il corretto completamento di una richiesta del client;Per comunicare al browser un particolare trattamento della richiesta appena effettuata
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa indica il codice di stato 200?;1;La richiesta è stata completata correttamente;La richiesta è avvenuta correttamente e il server visualizza il risultato;La richiesta è avvenuta correttamente ma il server non ne visualizza il risultato;La risorsa richiesta si trova in un nuovo percorso, dunque è necessario un reindirizzamento
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa indica il codice di stato 400?;1;La richiesta effettuata dal browser non è corretta o non è stata formulata correttamente;Il client deve fornire delle credenziali per poter effettuare la richiesta o accedere ad una determinata risorsa;Il client non possiede i privilegi necessari per poter effettuare la richiesta o accedere  ad una determinata risorsa;La risorsa richiesta dal client non presente nel server
SISTEMI E RETI;5F;2;TEORIA;QUIZ;SI;Cosa indica il codice di stato 401?;1;Il client deve fornire delle credenziali per poter effettuare la richiesta o accedere ad una determinata risorsa;Il client non possiede i privilegi necessari per poter effettuare la richiesta o accedere  ad una determinata risorsa;La risorsa richiesta dal client non presente nel server;Il metodo utilizzato nella richiesta del client non è compatibile con l'URL o la risorsa specificata 
